ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
K11251,histone H2A,29,-0.760605574,-2.10276573,2.00E-06,5.51E-05,4.27E-05,6456,"tags=72%, list=18%, signal=59%",Nitab4.5_0009149g0010.1/Nitab4.5_0002077g0100.1/Nitab4.5_0000749g0050.1/Nitab4.5_0000092g0130.1/Nitab4.5_0000552g0020.1/Nitab4.5_0002229g0020.1/Nitab4.5_0002541g0030.1/Nitab4.5_0002342g0140.1/Nitab4.5_0003782g0030.1/Nitab4.5_0000610g0110.1/Nitab4.5_0000070g0160.1/Nitab4.5_0008504g0010.1/Nitab4.5_0004899g0120.1/Nitab4.5_0001985g0060.1/Nitab4.5_0008329g0050.1/Nitab4.5_0002344g0070.1/Nitab4.5_0001651g0140.1/Nitab4.5_0001044g0070.1/Nitab4.5_0002093g0060.1/Nitab4.5_0003831g0050.1/Nitab4.5_0001651g0150.1
K01728,pectate lyase [EC:4.2.2.2],21,-0.80000422,-2.079895486,2.22E-06,5.59E-05,4.33E-05,3180,"tags=71%, list=9%, signal=65%",Nitab4.5_0000643g0070.1/Nitab4.5_0001360g0220.1/Nitab4.5_0001359g0050.1/Nitab4.5_0001812g0010.1/Nitab4.5_0010267g0020.1/Nitab4.5_0010728g0020.1/Nitab4.5_0006465g0010.1/Nitab4.5_0001278g0050.1/Nitab4.5_0004195g0010.1/Nitab4.5_0001657g0010.1/Nitab4.5_0002085g0100.1/Nitab4.5_0004117g0030.1/Nitab4.5_0000041g0140.1/Nitab4.5_0004647g0020.1/Nitab4.5_0001056g0020.1
K11252,histone H2B,20,-0.816569924,-2.092198176,3.01E-06,7.01E-05,5.43E-05,5714,"tags=95%, list=16%, signal=80%",Nitab4.5_0000070g0170.1/Nitab4.5_0003782g0080.1/Nitab4.5_0000610g0060.1/Nitab4.5_0000107g0200.1/Nitab4.5_0009159g0010.1/Nitab4.5_0001523g0030.1/Nitab4.5_0000255g0060.1/Nitab4.5_0009655g0010.1/Nitab4.5_0006672g0020.1/Nitab4.5_0004987g0080.1/Nitab4.5_0002692g0060.1/Nitab4.5_0006213g0010.1/Nitab4.5_0000255g0070.1/Nitab4.5_0009487g0010.1/Nitab4.5_0000173g0180.1/Nitab4.5_0005665g0010.1/Nitab4.5_0000096g0190.1/Nitab4.5_0001163g0030.1/Nitab4.5_0027235g0010.1
K09285,"AP2-like factor, ANT lineage",10,-0.913013777,-1.967231081,3.35E-06,7.25E-05,5.62E-05,3067,"tags=100%, list=9%, signal=91%",Nitab4.5_0001611g0120.1/Nitab4.5_0009818g0010.1/Nitab4.5_0001494g0060.1/Nitab4.5_0005305g0010.1/Nitab4.5_0004738g0060.1/Nitab4.5_0004944g0010.1/Nitab4.5_0002700g0090.1/Nitab4.5_0001641g0010.1/Nitab4.5_0003987g0010.1
K13449,pathogenesis-related protein 1,10,0.91864169,1.996900632,6.95E-06,0.000138531,0.000107321,162,"tags=70%, list=0%, signal=70%",Nitab4.5_0004861g0040.1/Nitab4.5_0003771g0010.1/Nitab4.5_0001477g0080.1/Nitab4.5_0004861g0030.1/Nitab4.5_0014031g0010.1/Nitab4.5_0005400g0020.1/Nitab4.5_0007488g0040.1
K17506,protein phosphatase 1L [EC:3.1.3.16],19,0.82834095,2.08376237,7.32E-06,0.000138531,0.000107321,4439,"tags=74%, list=13%, signal=64%",Nitab4.5_0001806g0020.1/Nitab4.5_0003391g0010.1/Nitab4.5_0000789g0020.1/Nitab4.5_0000839g0070.1/Nitab4.5_0016738g0010.1/Nitab4.5_0001752g0090.1/Nitab4.5_0008703g0020.1/Nitab4.5_0006024g0010.1/Nitab4.5_0002330g0060.1/Nitab4.5_0015488g0010.1/Nitab4.5_0001619g0100.1/Nitab4.5_0002533g0070.1/Nitab4.5_0007300g0020.1/Nitab4.5_0000174g0140.1
K18801,glucuronoxylan 4-O-methyltransferase [EC:2.1.1.112],10,-0.901488696,-1.94239849,1.06E-05,0.000188923,0.00014636,1660,"tags=100%, list=5%, signal=95%",Nitab4.5_0007693g0030.1/Nitab4.5_0007402g0050.1/Nitab4.5_0000604g0080.1/Nitab4.5_0001603g0030.1/Nitab4.5_0000929g0070.1/Nitab4.5_0001278g0080.1/Nitab4.5_0001359g0020.1/Nitab4.5_0009331g0010.1/Nitab4.5_0014182g0010.1
K10406,kinesin family member C2/C3,15,-0.83878498,-1.986235042,1.33E-05,0.000223919,0.000173472,5679,"tags=100%, list=16%, signal=84%",Nitab4.5_0004395g0050.1/Nitab4.5_0006638g0060.1/Nitab4.5_0001615g0170.1/Nitab4.5_0013184g0030.1/Nitab4.5_0000116g0270.1/Nitab4.5_0001112g0020.1/Nitab4.5_0001944g0060.1/Nitab4.5_0001544g0100.1/Nitab4.5_0005587g0050.1/Nitab4.5_0000402g0070.1/Nitab4.5_0000152g0270.1/Nitab4.5_0000639g0260.1/Nitab4.5_0007721g0030.1/Nitab4.5_0000505g0070.1
K16732,Ase1/PRC1/MAP65 family protein,18,-0.805197159,-2.004789751,1.66E-05,0.000264545,0.000204945,2748,"tags=61%, list=8%, signal=56%",Nitab4.5_0001404g0030.1/Nitab4.5_0000861g0030.1/Nitab4.5_0007749g0020.1/Nitab4.5_0002838g0020.1/Nitab4.5_0005372g0080.1/Nitab4.5_0001160g0020.1/Nitab4.5_0000205g0160.1/Nitab4.5_0014314g0010.1/Nitab4.5_0000457g0430.1/Nitab4.5_0000072g0390.1/Nitab4.5_0001589g0030.1
K13680,beta-mannan synthase [EC:2.4.1.32],11,-0.882266353,-1.937053712,1.84E-05,0.000278097,0.000215444,2580,"tags=82%, list=7%, signal=76%",Nitab4.5_0009758g0010.1/Nitab4.5_0005038g0020.1/Nitab4.5_0000442g0250.1/Nitab4.5_0001922g0050.1/Nitab4.5_0000096g0130.1/Nitab4.5_0007424g0020.1/Nitab4.5_0000132g0240.1/Nitab4.5_0005504g0030.1/Nitab4.5_0011483g0010.1
K01246,DNA-3-methyladenine glycosylase I [EC:3.2.2.20],12,-0.849520202,-1.886572335,3.30E-05,0.000475656,0.000368495,3581,"tags=83%, list=10%, signal=75%",Nitab4.5_0000614g0060.1/Nitab4.5_0001815g0060.1/Nitab4.5_0002891g0010.1/Nitab4.5_0002315g0170.1/Nitab4.5_0005314g0010.1/Nitab4.5_0001299g0080.1/Nitab4.5_0004786g0050.1/Nitab4.5_0000110g0310.1/Nitab4.5_0008265g0010.1/Nitab4.5_0000217g0070.1
K01179,endoglucanase [EC:3.2.1.4],25,-0.736572106,-2.002825633,4.58E-05,0.000630955,0.000488806,2419,"tags=72%, list=7%, signal=67%",Nitab4.5_0002720g0030.1/Nitab4.5_0000573g0040.1/Nitab4.5_0005537g0040.1/Nitab4.5_0000288g0030.1/Nitab4.5_0000009g0300.1/Nitab4.5_0002723g0040.1/Nitab4.5_0001231g0080.1/Nitab4.5_0001540g0070.1/Nitab4.5_0000726g0070.1/Nitab4.5_0000116g0390.1/Nitab4.5_0000482g0200.1/Nitab4.5_0004010g0070.1/Nitab4.5_0009169g0040.1/Nitab4.5_0003806g0010.1/Nitab4.5_0003310g0040.1/Nitab4.5_0013322g0010.1/Nitab4.5_0002826g0090.1/Nitab4.5_0007163g0020.1
K11253,histone H3,13,-0.831627751,-1.868986874,7.02E-05,0.000925177,0.000716743,2412,"tags=100%, list=7%, signal=93%",Nitab4.5_0006824g0040.1/Nitab4.5_0000241g0210.1/Nitab4.5_0008221g0030.1/Nitab4.5_0000032g0030.1/Nitab4.5_0000032g0040.1/Nitab4.5_0002934g0030.1/Nitab4.5_0005043g0050.1/Nitab4.5_0006934g0040.1/Nitab4.5_0005016g0020.1/Nitab4.5_0002114g0180.1/Nitab4.5_0000990g0020.1/Nitab4.5_0000446g0090.1
K05933,aminocyclopropanecarboxylate oxidase [EC:1.14.17.4],12,0.855141245,1.978018629,9.25E-05,0.001167661,0.000904598,3137,"tags=75%, list=9%, signal=68%",Nitab4.5_0000130g0140.1/Nitab4.5_0000130g0130.1/Nitab4.5_0000622g0170.1/Nitab4.5_0009635g0010.1/Nitab4.5_0004330g0020.1/Nitab4.5_0004821g0040.1/Nitab4.5_0004330g0030.1/Nitab4.5_0008174g0030.1/Nitab4.5_0000005g0070.1
K10400,kinesin family member 15,10,-0.869919162,-1.874376989,0.000107709,0.001305437,0.001011334,4581,"tags=100%, list=13%, signal=87%",Nitab4.5_0010381g0020.1/Nitab4.5_0007541g0010.1/Nitab4.5_0011040g0040.1/Nitab4.5_0001401g0070.1/Nitab4.5_0003726g0080.1/Nitab4.5_0000461g0040.1/Nitab4.5_0002498g0040.1/Nitab4.5_0007815g0020.1/Nitab4.5_0008232g0020.1
K23877,xyloglucan O-acetyltransferase,72,-0.547392365,-1.794840313,0.00011336,0.001321086,0.001023457,5836,"tags=51%, list=17%, signal=43%",Nitab4.5_0000522g0210.1/Nitab4.5_0008317g0020.1/Nitab4.5_0009020g0040.1/Nitab4.5_0012245g0030.1/Nitab4.5_0004057g0070.1/Nitab4.5_0001703g0030.1/Nitab4.5_0001079g0070.1/Nitab4.5_0000073g0230.1/Nitab4.5_0000496g0220.1/Nitab4.5_0001477g0060.1/Nitab4.5_0003540g0090.1/Nitab4.5_0002076g0100.1/Nitab4.5_0000035g0380.1/Nitab4.5_0000338g0070.1/Nitab4.5_0004770g0050.1/Nitab4.5_0004042g0020.1/Nitab4.5_0012513g0020.1/Nitab4.5_0005458g0020.1/Nitab4.5_0000058g0080.1/Nitab4.5_0003671g0020.1/Nitab4.5_0003332g0030.1/Nitab4.5_0001440g0080.1/Nitab4.5_0000383g0040.1/Nitab4.5_0001371g0020.1/Nitab4.5_0006288g0010.1/Nitab4.5_0000797g0140.1/Nitab4.5_0000630g0040.1/Nitab4.5_0000347g0100.1/Nitab4.5_0008146g0040.1/Nitab4.5_0000683g0100.1/Nitab4.5_0005329g0020.1/Nitab4.5_0001375g0010.1/Nitab4.5_0013861g0010.1/Nitab4.5_0000789g0130.1/Nitab4.5_0005622g0010.1/Nitab4.5_0001437g0100.1/Nitab4.5_0002701g0070.1
K13946,auxin influx carrier (AUX1 LAX family),11,-0.843257721,-1.851408583,0.000175144,0.00196551,0.001522698,5442,"tags=91%, list=15%, signal=77%",Nitab4.5_0009993g0010.1/Nitab4.5_0001588g0010.1/Nitab4.5_0007422g0010.1/Nitab4.5_0000802g0140.1/Nitab4.5_0000119g0210.1/Nitab4.5_0009144g0020.1/Nitab4.5_0001891g0070.1/Nitab4.5_0005328g0020.1/Nitab4.5_0000956g0030.1/Nitab4.5_0001889g0140.1
K08245,phytepsin [EC:3.4.23.40],12,-0.821027121,-1.823296314,0.000232265,0.002444767,0.001893983,1836,"tags=67%, list=5%, signal=63%",Nitab4.5_0001409g0030.1/Nitab4.5_0006031g0020.1/Nitab4.5_0000005g0200.1/Nitab4.5_0001462g0050.1/Nitab4.5_0007166g0040.1/Nitab4.5_0000800g0030.1/Nitab4.5_0002541g0050.1/Nitab4.5_0003573g0020.1
K15404,aldehyde decarbonylase [EC:4.1.99.5],13,-0.809438017,-1.819118022,0.000234551,0.002444767,0.001893983,5974,"tags=92%, list=17%, signal=77%",Nitab4.5_0004553g0030.1/Nitab4.5_0008679g0010.1/Nitab4.5_0001895g0080.1/Nitab4.5_0004194g0030.1/Nitab4.5_0002090g0010.1/Nitab4.5_0020701g0010.1/Nitab4.5_0005284g0010.1/Nitab4.5_0005841g0020.1/Nitab4.5_0000781g0060.1/Nitab4.5_0014095g0010.1/Nitab4.5_0001061g0090.1/Nitab4.5_0002325g0010.1
K01051,pectinesterase [EC:3.1.1.11],49,-0.589838414,-1.816943002,0.000242056,0.002444767,0.001893983,3112,"tags=49%, list=9%, signal=45%",Nitab4.5_0008176g0010.1/Nitab4.5_0002347g0100.1/Nitab4.5_0010777g0020.1/Nitab4.5_0000170g0380.1/Nitab4.5_0000357g0140.1/Nitab4.5_0001013g0060.1/Nitab4.5_0008337g0040.1/Nitab4.5_0009751g0020.1/Nitab4.5_0000566g0210.1/Nitab4.5_0006928g0030.1/Nitab4.5_0003079g0070.1/Nitab4.5_0001013g0070.1/Nitab4.5_0003497g0080.1/Nitab4.5_0000222g0150.1/Nitab4.5_0001544g0040.1/Nitab4.5_0010008g0010.1/Nitab4.5_0006239g0030.1/Nitab4.5_0000004g0210.1/Nitab4.5_0000116g0370.1/Nitab4.5_0008214g0010.1/Nitab4.5_0005960g0020.1/Nitab4.5_0012083g0010.1/Nitab4.5_0004082g0010.1/Nitab4.5_0000312g0060.1
K00797,spermidine synthase [EC:2.5.1.16],10,-0.853758388,-1.839556071,0.000251443,0.002457657,0.001903969,1147,"tags=30%, list=3%, signal=29%",Nitab4.5_0021288g0010.1/Nitab4.5_0009678g0010.1/Nitab4.5_0002946g0040.1
K06627,cyclin-A,12,-0.818775776,-1.81829664,0.000263232,0.00249248,0.001930947,4486,"tags=75%, list=13%, signal=65%",Nitab4.5_0003643g0040.1/Nitab4.5_0003633g0020.1/Nitab4.5_0000934g0180.1/Nitab4.5_0007182g0040.1/Nitab4.5_0003976g0070.1/Nitab4.5_0000486g0160.1/Nitab4.5_0000111g0090.1/Nitab4.5_0004637g0030.1/Nitab4.5_0006720g0060.1
K09286,EREBP-like factor,103,0.495531861,1.695445805,0.000368221,0.003380936,0.002619242,4610,"tags=42%, list=13%, signal=36%",Nitab4.5_0010799g0010.1/Nitab4.5_0002377g0030.1/Nitab4.5_0001035g0010.1/Nitab4.5_0000376g0040.1/Nitab4.5_0010493g0010.1/Nitab4.5_0007739g0040.1/Nitab4.5_0012460g0010.1/Nitab4.5_0000481g0010.1/Nitab4.5_0000574g0150.1/Nitab4.5_0000600g0080.1/Nitab4.5_0004682g0020.1/Nitab4.5_0003137g0010.1/Nitab4.5_0000600g0060.1/Nitab4.5_0002211g0060.1/Nitab4.5_0002236g0040.1/Nitab4.5_0000287g0030.1/Nitab4.5_0000734g0030.1/Nitab4.5_0000486g0010.1/Nitab4.5_0007739g0010.1/Nitab4.5_0000305g0140.1/Nitab4.5_0000600g0050.1/Nitab4.5_0000116g0330.1/Nitab4.5_0010541g0010.1/Nitab4.5_0002211g0030.1/Nitab4.5_0000105g0290.1/Nitab4.5_0000586g0010.1/Nitab4.5_0002236g0010.1/Nitab4.5_0004506g0060.1/Nitab4.5_0001731g0020.1/Nitab4.5_0000258g0130.1/Nitab4.5_0002716g0070.1/Nitab4.5_0002236g0020.1/Nitab4.5_0007730g0010.1/Nitab4.5_0005129g0040.1/Nitab4.5_0000803g0030.1/Nitab4.5_0005097g0040.1/Nitab4.5_0002211g0120.1/Nitab4.5_0001603g0050.1/Nitab4.5_0012194g0010.1/Nitab4.5_0000734g0070.1/Nitab4.5_0001841g0070.1/Nitab4.5_0000675g0010.1/Nitab4.5_0010249g0010.1
K14611,"solute carrier family 23 (nucleobase transporter), member 1",16,-0.749238285,-1.809266549,0.000408944,0.003644413,0.00282336,3487,"tags=50%, list=10%, signal=45%",Nitab4.5_0001422g0070.1/Nitab4.5_0000482g0240.1/Nitab4.5_0000003g0440.1/Nitab4.5_0007465g0060.1/Nitab4.5_0009772g0010.1/Nitab4.5_0005171g0050.1/Nitab4.5_0004033g0050.1/Nitab4.5_0004536g0030.1
K00703,starch synthase [EC:2.4.1.21],14,-0.777778359,-1.786827944,0.000440192,0.003810803,0.002952264,6613,"tags=79%, list=19%, signal=64%",Nitab4.5_0005393g0030.1/Nitab4.5_0000093g0200.1/Nitab4.5_0000396g0260.1/Nitab4.5_0007005g0040.1/Nitab4.5_0000170g0160.1/Nitab4.5_0011941g0020.1/Nitab4.5_0016924g0010.1/Nitab4.5_0000564g0020.1/Nitab4.5_0002520g0080.1/Nitab4.5_0003419g0070.1/Nitab4.5_0002980g0050.1
K17098,annexin D,11,0.842437474,1.882525314,0.000453437,0.003816424,0.002956618,4090,"tags=73%, list=12%, signal=64%",Nitab4.5_0001266g0060.1/Nitab4.5_0000104g0050.1/Nitab4.5_0003629g0020.1/Nitab4.5_0002448g0010.1/Nitab4.5_0005582g0030.1/Nitab4.5_0005052g0040.1/Nitab4.5_0005582g0070.1/Nitab4.5_0000152g0280.1
K11498,centromeric protein E,22,-0.693305003,-1.816883119,0.000502466,0.004114788,0.003187763,7935,"tags=68%, list=23%, signal=53%",Nitab4.5_0000589g0030.1/Nitab4.5_0000009g0240.1/Nitab4.5_0009361g0010.1/Nitab4.5_0001154g0050.1/Nitab4.5_0001370g0030.1/Nitab4.5_0002880g0100.1/Nitab4.5_0002208g0050.1/Nitab4.5_0002723g0070.1/Nitab4.5_0011770g0020.1/Nitab4.5_0003139g0100.1/Nitab4.5_0007294g0010.1/Nitab4.5_0001426g0030.1/Nitab4.5_0002796g0020.1/Nitab4.5_0001986g0020.1/Nitab4.5_0000170g0040.1
K11975,E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31],15,0.795846241,1.897255795,0.000534102,0.004199468,0.003253366,5447,"tags=67%, list=15%, signal=56%",Nitab4.5_0004194g0100.1/Nitab4.5_0001128g0040.1/Nitab4.5_0005766g0040.1/Nitab4.5_0001128g0030.1/Nitab4.5_0007812g0020.1/Nitab4.5_0005377g0010.1/Nitab4.5_0000377g0040.1/Nitab4.5_0000022g0140.1/Nitab4.5_0008748g0020.1/Nitab4.5_0001578g0040.1
K19996,phosphatidylinositol transfer protein SFH5,10,-0.83989881,-1.809693443,0.000540526,0.004199468,0.003253366,4161,"tags=80%, list=12%, signal=71%",Nitab4.5_0005558g0010.1/Nitab4.5_0005616g0020.1/Nitab4.5_0001463g0020.1/Nitab4.5_0001226g0080.1/Nitab4.5_0000047g0180.1/Nitab4.5_0001181g0070.1/Nitab4.5_0011416g0010.1/Nitab4.5_0004970g0020.1
K24193,"MFS transporter, SP family, sugar:H+ symporter",15,0.795032791,1.895316573,0.000562972,0.00426451,0.003303755,3490,"tags=67%, list=10%, signal=60%",Nitab4.5_0000321g0060.1/Nitab4.5_0000066g0190.1/Nitab4.5_0000795g0070.1/Nitab4.5_0004199g0010.1/Nitab4.5_0000012g0180.1/Nitab4.5_0005304g0010.1/Nitab4.5_0003465g0030.1/Nitab4.5_0014875g0020.1/Nitab4.5_0000416g0010.1/Nitab4.5_0001671g0060.1
